Title,Author,Quantity,Genre
a series of unfortunate events the austere academy,lemony snicket,1,General Knowledge
a series of unfortunate events the bad beginning,lemony snicket,1,General Knowledge
A Series of Unfortunate Events The Carnivorous Carnival,Lemony Snicket,2,General Knowledge
a series of unfortunate events the end,lemony snicket,1,General Knowledge
a series of unfortunate events the grim grotto,lemony snicket,1,General Knowledge
A Series of Unfortunate Events The Hostile Hospital,Lemony Snicket,3,General Knowledge
A Series of Unfortunate Events The Miserable Mill,Lemony Snicket,2,General Knowledge
a series of unfortunate events the penultimate peril,lemony snicket,1,General Knowledge
a series of unfortunate events the slippery slope,lemony snicket,1,General Knowledge
a series of unfortunate events the vile village,lemony snicket,1,General Knowledge
a series of unfortunate events the wide window,lemony snicket,1,General Knowledge
a sick day for amos mcgee,philip stead,1,General Knowledge
A Single Shard,Linda Sue Park,3,General Knowledge
A Smart Girl's Guide to Freindship Troubles,Patti Kelly Criswell,1,Arts and Recreation
A Smart Girl's Guide to Friendship Troubles,Patti Kelley Criswell,3,Arts and Recreation
A Smart Girl's Guide to Manners,Nancy Holyoke,2,Arts and Recreation
A Smart Girl's Guide to Starting Middle School,Julie Williams,1,Arts and Recreation
A Smart Girls guide to sticky situations,American Girl,1,Arts and Recreation
A Snowman Named just Bob,Mark Kimball Moulton,1,General Knowledge
A Squash and a Squeeze,Julia Donaldson,1,General Knowledge
A Story A Story,Gail E. Haley,1,Literature
"A Street Through Time a 12,000-Year Walk Through History",Steven Noon,1,Literature
a string in the harp,nancy bond,1,General Knowledge
A Strong Right Arm,Michelle Y. Green,2,General Knowledge
A Summer to Die,Lois Lowry,1,General Knowledge
A Swiftly Tilting Planet,Madeleine L'engle,2,Science
A Swim through the Sea,Kristin Joy Pratt,1,General Knowledge
A Tale For Easter,Jasha judos,1,Literature
A taste of Blackberries,Doris Buchanan Smith,3,General Knowledge
A Terrifying Taste of Short & Shivery,Robert D. San Souce,1,General Knowledge
a time of angels,karen hesse,1,General Knowledge
a time to love,walter myers,1,General Knowledge
A to Z Mysteries - The Bald Bandit,Ron Roy,1,General Knowledge
A to Z Mysteries The Runaway Racehorse,Ron Roy,1,General Knowledge
A to Z Mysteries: The Deadly Dungeon,Ron Roy,1,General Knowledge
A to Z Mysteries: The Goose’s Gold,Ron Roy,1,General Knowledge
A Treasury of Paddington,Michael Bond,1,General Knowledge
A Treasury of Stories from Around the World,Linda Jennings (editor),1,Literature
A Tree is Nice,Janice May Udry,1,General Knowledge
A Trip to the Dcotor,Deborah Lock,1,General Knowledge
A Very Scary Haunted House,Joanne Barkan,3,General Knowledge
A Very Special Kwanzaa,Debbi Chocolate,1,General Knowledge
A Village Full of Valentines,James Stevenson,1,General Knowledge
"A Visit from St. Nicholas and Santa Mouse, Too!",Clement C. Mouse,1,General Knowledge
A Voice of Her Own,Kathryn Lasky,1,General Knowledge
A Walk in the Rainforest,Kristin Joy Pratt,1,General Knowledge
a williamsburg household,joan anderson,1,General Knowledge
A Wind in the Door,Madeleine L'Engle,1,General Knowledge
"A Winnie the Pooh First Reader, Rabbit Gets Lost",Isabel Gaines,1,General Knowledge
A World War Two Submarine,"Richard Humble, Mark Bergin",1,General Knowledge
A Wrinkle In Time,Madeline L'Engle,2,General Knowledge
A Wrinkle In Time,Madeline L.'Engle,3,General Knowledge
A Wrinkley In Time,Madeleine L'ENGLE,1,General Knowledge
A Year Down Yonder,Richard Peck,2,General Knowledge
A Young Patriot,Jim Murphy,1,General Knowledge
Abandoned! Will She Ever Find Home?,Jenmny Dale,1,General Knowledge
ABC,Dr. Seuss,1,General Knowledge
Abduction,"Rodman Philbrick, Lynn Harnett",1,General Knowledge
Abe Lincoln - President for the People,Yannick Oney,1,General Knowledge
Abe Lincoln The Young Years,Keith Brandt,1,General Knowledge
Abe Lincoln: The boy who loved books,Kay Winters,1,General Knowledge
Abe Lincoln: The Young Years,Keith Brandt,2,General Knowledge
Abiyoyo,Pete Seeger,1,General Knowledge
About Weather,M. Jean Craig,1,Science
Abraham Lincoln,Ingri & Edgar Parin d'Aulaire,1,General Knowledge
Abraham Lincoln,Ingri&Edgar Parin D'Aulaire,1,General Knowledge
Abraham Lincoln and Presidents' Day,Joanne Barkan,2,General Knowledge
"Abrham Lincoln, Friend of the People",Clara Ingram Judson,1,General Knowledge
Absoltely Nat,Maria Scrivan,2,General Knowledge
Absolutely Nat,Maria Scrivan,1,General Knowledge
Absolutely Normal Chaos,Sharon Creech,1,General Knowledge
absolutley lucy,llene cooper,1,General Knowledge
Absolutly Normal Chaos,Sharon Creech,2,General Knowledge
abuelo y los tres osos,jerry tello,3,General Knowledge
Accidentally Fabulous,Lisa Papademetriou,1,General Knowledge
Acids and Bases,Lynnette Brent,1,General Knowledge
Across Five Aprils,Irene Hunt,3,General Knowledge
Across the Wide and Lonesome Prairie,Kristiana Gregory,1,General Knowledge
Action Optical Illusions,Al Seckel,1,General Knowledge
Adam of the Road,Elizabeth Janet Gray,2,General Knowledge
Addy's Wedding Quilt,Connie Porter,1,General Knowledge
" Adventure Time, Which Way, Dude? BMO's Day Out",Max Brallier,1,General Knowledge
